Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,TotalPrice
2023-01-01,South,Chair,3,339,Chennai,Corporate,0.0867410155256283,John,Cash,No,Yes,10001,Customer_0,7.484793203768254,2023-01-01,2023-01-04,Ryan,928.7843872104361
2023-01-02,Central,Phone,13,1704,Mumbai,Retail,0.13538555315329198,Sara,Cash,No,No,10002,Customer_1,47.95868810120251,2023-01-02,2023-01-05,Eric,19152.93922654828
2023-01-03,North,Chair,9,1460,Bangalore,Retail,0.03509491391557727,Meera,Cash,No,No,10003,Customer_2,10.785976735859531,2023-01-03,2023-01-06,Sophie,12678.852831149314
2023-01-04,Central,Desk,6,1173,Mumbai,Retail,0.1359802382265064,Sara,Card,Yes,No,10004,Customer_3,36.38575702520271,2023-01-04,2023-01-07,Sophie,6080.971083361848
2023-01-05,Central,Laptop,12,1216,Mumbai,Retail,0.2559527436773401,Amit,UPI,No,No,10005,Customer_4,27.780396624089608,2023-01-05,2023-01-08,Cameron,10857.137564260252
2023-01-06,West,Chair,2,1152,Mumbai,Retail,0.174396305917516,Sara,Cash,Yes,No,10006,Customer_5,6.153451244799016,2023-01-06,2023-01-09,Ryan,1902.1909111660432
2023-01-07,North,Laptop,3,1103,Chennai,Corporate,0.023678956511523696,Amit,Card,Yes,No,10007,Customer_6,46.61363641389627,2023-01-07,2023-01-10,Cameron,3230.646332903368
2023-01-08,North,Phone,3,271,Chennai,Retail,0.0575013956490823,Sara,Card,No,Yes,10008,Customer_7,43.332656396851995,2023-01-08,2023-01-11,Cameron,766.2513653372961
2023-01-09,North,Laptop,12,1890,Delhi,Corporate,0.14236330504756686,Amit,Card,Yes,Yes,10009,Customer_8,28.591606755672597,2023-01-09,2023-01-12,Cameron,19451.200241521183
2023-01-10,Central,Phone,15,1413,Delhi,Retail,0.10844614494654362,Meera,Cash,No,Yes,10010,Customer_9,15.302405126275037,2023-01-10,2023-01-13,Cameron,18896.48395785801
2023-01-11,South,Desk,9,1491,Mumbai,Corporate,0.10761810586382962,Amit,Cash,No,No,10011,Customer_10,10.473030080604241,2023-01-11,2023-01-14,Sophie,11974.872637413271
2023-01-12,North,Phone,8,1544,Delhi,Retail,0.15878023444307704,Sara,UPI,Yes,No,10012,Customer_11,21.352661574445698,2023-01-12,2023-01-15,Ryan,10390.746544159112
2023-01-13,Central,Phone,11,306,Mumbai,Corporate,0.17531877647683722,Meera,Card,Yes,Yes,10013,Customer_12,16.494272647074073,2023-01-13,2023-01-16,Cameron,2775.8769983789657
2023-01-14,West,Printer,16,1455,Chennai,Corporate,0.23905847108285733,Sara,Cash,No,Yes,10014,Customer_13,27.80110404528344,2023-01-14,2023-01-17,Ryan,17714.71879319108
